DB010,DB020,DB030,DB040,DB040_F,DB090,DB090_F,DB100,DB100_F
2024,ES,55,ES21,1,391.59203,1,1,1
2024,ES,57,ES21,1,1070.79671,1,1,1
2024,ES,58,ES21,1,1287.74911,1,1,1
2024,ES,59,ES42,1,517.09129,1,1,1
2024,ES,60,ES42,1,302.16264,1,1,1
2024,ES,61,ES42,1,247.36717,1,1,1
2024,ES,62,ES42,1,280.18420,1,1,1
2024,ES,63,ES42,1,551.88236,1,1,1
2024,ES,64,ES42,1,601.77543,1,1,1
2024,ES,65,ES42,1,687.96513,1,1,1
2024,ES,66,ES42,1,303.15507,1,1,1
2024,ES,67,ES42,1,234.13008,1,1,1
2024,ES,68,ES42,1,1237.78863,1,1,1
2024,ES,69,ES42,1,326.38631,1,1,1
2024,ES,70,ES42,1,1723.42036,1,1,1
2024,ES,71,ES42,1,360.52854,1,1,1
2024,ES,72,ES42,1,597.81617,1,1,1
2024,ES,74,ES42,1,398.88503,1,1,1
2024,ES,75,ES42,1,395.47639,1,1,1
2024,ES,76,ES42,1,601.77543,1,1,1
2024,ES,77,ES42,1,488.11968,1,1,1
2024,ES,78,ES42,1,601.77543,1,1,1
2024,ES,79,ES42,1,302.16264,1,1,1
2024,ES,80,ES42,1,181.86450,1,1,1
2024,ES,81,ES42,1,399.54933,1,1,1
2024,ES,82,ES42,1,2849.41768,1,1,1
2024,ES,83,ES42,1,601.77543,1,1,1
2024,ES,84,ES42,1,409.31425,1,1,1
2024,ES,85,ES42,1,1114.38177,1,1,1
2024,ES,86,ES42,1,510.77678,1,1,1
2024,ES,87,ES42,1,601.77543,1,1,1
2024,ES,88,ES42,1,726.77586,1,1,1
2024,ES,89,ES42,1,279.28197,1,1,1
2024,ES,90,ES42,1,409.13086,1,2,1
2024,ES,91,ES42,1,741.86929,1,2,1
2024,ES,92,ES42,1,815.41721,1,2,1
2024,ES,93,ES42,1,370.41702,1,2,1
2024,ES,94,ES42,1,109.88847,1,2,1
2024,ES,95,ES42,1,839.25478,1,2,1
2024,ES,96,ES42,1,514.42773,1,2,1
2024,ES,97,ES42,1,861.24378,1,2,1
2024,ES,98,ES42,1,561.40211,1,2,1
2024,ES,99,ES42,1,503.79298,1,2,1
2024,ES,100,ES42,1,335.46015,1,2,1
2024,ES,101,ES42,1,1095.42217,1,2,1
2024,ES,102,ES42,1,283.43458,1,2,1
2024,ES,103,ES42,1,457.91630,1,2,1
2024,ES,104,ES42,1,632.79523,1,2,1
2024,ES,106,ES42,1,497.01472,1,2,1
2024,ES,108,ES42,1,237.00513,1,1,1
2024,ES,109,ES42,1,218.99805,1,1,1
2024,ES,110,ES42,1,236.09162,1,1,1
2024,ES,111,ES42,1,576.19252,1,1,1
2024,ES,112,ES42,1,401.86441,1,1,1
2024,ES,113,ES42,1,453.84048,1,1,1
2024,ES,114,ES42,1,1237.78863,1,1,1
2024,ES,115,ES42,1,700.35026,1,1,1
2024,ES,116,ES42,1,374.62834,1,1,1
2024,ES,117,ES51,1,458.34132,1,2,1
2024,ES,118,ES42,1,256.28514,1,1,1
2024,ES,119,ES42,1,304.26676,1,1,1
2024,ES,120,ES42,1,393.12184,1,1,1
2024,ES,121,ES42,1,183.02849,1,1,1
2024,ES,122,ES42,1,351.90831,1,1,1
2024,ES,123,ES52,1,798.05951,1,3,1
2024,ES,124,ES52,1,1274.53640,1,3,1
2024,ES,125,ES52,1,984.36481,1,3,1
2024,ES,126,ES52,1,2239.29643,1,3,1
2024,ES,127,ES52,1,578.81861,1,3,1
2024,ES,128,ES52,1,1166.36049,1,3,1
2024,ES,129,ES52,1,1410.35319,1,1,1
2024,ES,130,ES52,1,1279.06955,1,1,1
2024,ES,131,ES52,1,670.89793,1,1,1
2024,ES,132,ES52,1,765.73846,1,1,1
2024,ES,133,ES52,1,760.35726,1,1,1
2024,ES,134,ES52,1,2025.35600,1,1,1
2024,ES,135,ES52,1,584.30779,1,1,1
2024,ES,136,ES52,1,1218.79898,1,1,1
2024,ES,137,ES52,1,636.19241,1,1,1
2024,ES,138,ES52,1,662.61946,1,1,1
2024,ES,139,ES52,1,758.18208,1,1,1
2024,ES,140,ES52,1,2573.18087,1,1,1
2024,ES,141,ES52,1,1571.63611,1,1,1
2024,ES,142,ES62,1,874.09091,1,2,1
2024,ES,143,ES52,1,2443.80310,1,2,1
2024,ES,146,ES52,1,840.11743,1,2,1
2024,ES,147,ES52,1,3376.42995,1,1,1
2024,ES,148,ES52,1,524.00356,1,1,1
2024,ES,149,ES52,1,1378.26371,1,1,1
2024,ES,150,ES52,1,1432.79475,1,1,1
2024,ES,151,ES52,1,813.64285,1,1,1
2024,ES,152,ES52,1,1687.17545,1,1,1
2024,ES,153,ES52,1,518.15571,1,1,1
2024,ES,154,ES52,1,552.78839,1,1,1
2024,ES,155,ES52,1,372.13120,1,1,1
2024,ES,156,ES52,1,409.36032,1,1,1
2024,ES,157,ES52,1,1099.08766,1,1,1
