RB010,RB020,RB030,RB050,RB050_F,RB080,RB080_F,RB081,RB081_F,RB082,RB082_F,RB090,RB090_F,RB200,RB200_F,RB211,RB211_F,RB220,RB220_F,RB230,RB230_F,RB240,RB240_F,RB280,RB280_F,RB290,RB290_F,RL010,RL010_F,RL020,RL020_F,RL030,RL030_F,RL040,RL040_F,RL050,RL050_F,RL060,RL060_F,RL070,RL070_F,vrLOWJOB,vrEU2020,vrMATSOCDEP,vrLOWJOB_nuevo,vrEU2030_nuevo,RCH010,RCH010_F,RCH020,RCH020_F,RC370,RC370_F,RC370B,RC370B_F,RC380,RC380_F,RC390,RC390_F
2024,ES,1555703,582.08129,1,1957,1,66,1,66,1,1,1,1,1,3,1, ,-2, ,-2,1555702,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1555801,801.90711,1,1951,1,72,1,73,1,2,1,1,1,3,1, ,-2, ,-2,1555802,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1555802,801.90711,1,1953,1,70,1,70,1,1,1,1,1,3,1, ,-2, ,-2,1555801,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1555901,927.14976,1,1979,1,44,1,44,1,1,1,1,1,1,1, ,-2, ,-2, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1556001,1302.3822,1,1987,1,36,1,37,1,2,1,1,1,1,1, ,-2, ,-2, ,-2,3,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1,1,0,1, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1556002,1302.3822,1,1976,1,47,1,48,1,2,1,1,1,1,1, ,-2, ,-2, ,-2,3,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,1,1,0,1, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1556101,559.61375,1,1974,1,49,1,50,1,1,1,1,1,2,1,1556103,1,1556102,1, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1556102,559.61375,1,1947,1,76,1,76,1,2,1,1,1,3,1, ,-2, ,-2,1556103,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1556103,559.61375,1,1942,1,81,1,81,1,1,1,1,1,3,1, ,-2, ,-2,1556102,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1556201,646.19514,1,1957,1,66,1,66,1,1,1,1,1,3,1, ,-2, ,-2,1556202,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
